country,country_code,year,gdp_per_capita,life_expectancy,internet_usage,unemployment
Grenada,GRD,1994,3152.2020478855,71.78,0.0,26.932
"Hong Kong SAR, China",HKG,1994,22502.5302426236,78.5436585365854,2.78,1.9
Hungary,HUN,1994,4187.0311799663,69.469756097561,0.484,10.697
Indonesia,IDN,1994,899.793982949817,65.041,0.00106,4.366
India,IND,1994,347.73421473994,60.237,0.00107,2.147
Ireland,IRL,1994,15902.9296755168,75.7866341463415,0.558,14.544
Israel,ISR,1994,16806.8353081322,77.4024390243903,0.577,7.813
Italy,ITA,1994,19382.2002150155,77.9219512195122,0.192,11.086
Jamaica,JAM,1994,2202.85831038471,71.624,0.0368,15.339
Japan,JPN,1994,39933.5150564874,79.6968292682927,0.8,2.9
Kazakhstan,KAZ,1994,1246.83633018218,64.108,0.000521,7.538
"Korea, Rep.",KOR,1994,10733.9888860657,73.3975609756098,0.311,2.405
Kuwait,KWT,1994,14929.7441110335,76.0328292682927,0.147,0.7
Sri Lanka,LKA,1994,678.268012020205,70.211,0.00277,13.903
Luxembourg,LUX,1994,43933.235442736,76.3707317073171,0.496,3.479
"Macao SAR, China",MAC,1994,15905.2615421482,77.2664878048781,0.037,2.494
Netherlands,NLD,1994,24682.5866742863,77.3751219512195,3.26,7.159
Norway,NOR,1994,29315.8092337732,77.689756097561,4.15,5.415
New Zealand,NZL,1994,15280.3127842922,76.8829268292683,3.17,8.361
Panama,PAN,1994,3508.19570069218,71.943,0.00764,14.005
Peru,PER,1994,1879.36657757919,66.544,0.0085,8.929
Philippines,PHL,1994,1059.9838951587,66.0,0.00584,8.432
Poland,POL,1994,2874.83163555069,71.6951219512195,0.389,14.438
Puerto Rico (US),PRI,1994,10876.4188239898,73.622,0.0273,14.701
Portugal,PRT,1994,9977.31990905771,74.9146341463415,0.719,6.709
Romania,ROU,1994,1323.03237766927,69.509756097561,0.0263,8.17
Singapore,SGP,1994,21552.4100366948,76.1975609756098,1.19,3.03
Slovak Republic,SVK,1994,3820.96427542658,72.3,0.319,13.645
Slovenia,SVN,1994,8243.89895545106,73.4048780487805,1.07,9.101
Sweden,SWE,1994,26045.5196995275,78.650243902439,3.41,9.491
Syrian Arab Republic,SYR,1994,712.387716635783,70.296,0.0,7.5
Thailand,THA,1994,2517.70732641683,69.661,0.0386,1.347
Tunisia,TUN,1994,1733.46614673506,70.363,0.00738,16.295
Turkiye,TUR,1994,2176.2801813809,69.402,0.0499,8.149
Uruguay,URY,1994,5507.56481300056,73.162,0.0625,9.185
United States,USA,1994,27694.853416234,75.619512195122,4.86,6.119
"Venezuela, RB",VEN,1994,2688.98325145295,71.283,0.0555,8.56
Zimbabwe,ZWE,1994,634.062003018813,52.537,0.00174,4.96
Albania,ALB,1995,911.320465445326,74.022,0.0112,12.9
United Arab Emirates,ARE,1995,27003.2006807782,71.392,0.103,1.802
Argentina,ARG,1995,7357.6162773788,72.864,0.0863,18.8
Armenia,ARM,1995,443.924860857976,68.628487804878,0.0527,6.7
Australia,AUS,1995,20479.1748274233,77.8292682926829,2.76,8.469
Austria,AUT,1995,30207.0674314652,76.6682926829268,1.89,4.345
Azerbaijan,AZE,1995,314.55801908334,61.931,0.00206,0.8
Belgium,BEL,1995,28413.8264387368,76.8407317073171,0.992,9.337
Bulgaria,BGR,1995,2259.25922555221,71.0534146341463,0.12,15.91
"Bahamas, The",BHS,1995,11374.6056703852,71.422,0.96,10.9
Belarus,BLR,1995,1370.69991385664,68.4609756097561,0.00292,2.533
Belize,BLZ,1995,4009.82752539849,69.484,0.0454,12.483
Bolivia,BOL,1995,852.754034861444,59.787,0.0668,3.693
Brazil,BRA,1995,4756.75013552302,67.701,0.105,7.092
Barbados,BRB,1995,8460.47380869104,73.88,0.00775,19.664
Canada,CAN,1995,20679.634792669,77.9773170731707,4.16,9.489
Switzerland,CHE,1995,50113.8321221345,78.4170731707317,3.55,3.094
Chile,CHL,1995,5081.4682771561,75.298,0.347,7.309
China,CHN,1995,612.680277898627,70.363,0.00495,1.147
Cote d'Ivoire,CIV,1995,740.4730999133,51.713,0.0002,4.1
Colombia,COL,1995,2583.66576349858,69.81,0.188,8.72
Cuba,CUB,1995,2785.24442954103,74.346,9.17e-05,8.3
Cyprus,CYP,1995,15261.4169921875,76.583,0.41,5.939
Czechia,CZE,1995,5865.29460556726,73.0748780487805,1.45,4.082
Germany,DEU,1995,31747.2449398447,76.4219512195122,1.84,8.158
Denmark,DNK,1995,35321.0980773087,75.2126829268293,3.83,6.992
Algeria,DZA,1995,1466.94806760415,67.691,0.00177,31.843
Ecuador,ECU,1995,2108.00698245316,71.349,0.0438,6.701
"Egypt, Arab Rep.",EGY,1995,916.326617700876,65.214,0.0313,11.039
Spain,ESP,1995,15460.9110266653,77.9807317073171,0.381,22.675
Finland,FIN,1995,26246.2743214462,76.409512195122,13.9,17.005
Fiji,FJI,1995,2466.74347815903,66.007,0.00912,5.4
France,FRA,1995,26791.8151982369,77.7512195121951,1.64,11.834
United Kingdom,GBR,1995,23252.6157127423,76.8365853658537,1.9,8.694
Greece,GRC,1995,12779.081491606,77.5853658536585,0.75,10.116
"Hong Kong SAR, China",HKG,1995,23497.3920767477,78.6787804878049,3.22,3.22
Honduras,HND,1995,814.049075569071,66.919,0.0368,3.239
Hungary,HUN,1995,4509.41740910077,69.7917073170732,0.677,10.171
Ireland,IRL,1995,19158.4564773907,75.4693170731707,1.11,11.97
Iceland,ISL,1995,27564.569102386,77.9843902439024,11.2,5.196
Israel,ISR,1995,19025.6840502517,77.4512195121951,0.93,6.872
Italy,ITA,1995,20712.1798690324,78.1707317073171,0.524,11.661
Jamaica,JAM,1995,2630.84935382822,71.488,0.109,16.244
Jordan,JOR,1995,1415.71151592128,70.915,0.0232,14.6
Japan,JPN,1995,44197.6191013908,79.5360975609756,1.59,3.2
Kazakhstan,KAZ,1995,1217.79138769863,63.717,0.0113,10.983
"Korea, Rep.",KOR,1995,13001.7205867019,73.7,0.82,2.016
St. Lucia,LCA,1995,5147.92024022295,71.172,0.306,15.839
Sri Lanka,LKA,1995,741.838255293455,69.746,0.00548,12.209
Luxembourg,LUX,1995,51032.349635318,76.5121951219512,1.59,2.918
"Macao SAR, China",MAC,1995,17215.1178522275,76.7585365853659,0.28,3.587
Morocco,MAR,1995,1466.78820800781,64.725,0.00371,22.86
Maldives,MDV,1995,1554.60942754604,66.962,0.0,0.786
North Macedonia,MKD,1995,2355.24705371138,71.8487804878049,0.0407,35.6
Malta,MLT,1995,9828.32354719517,77.290243902439,0.225,3.7
Mongolia,MNG,1995,652.67456284915,60.892512195122,0.00881,5.549
Malaysia,MYS,1995,4363.14458333034,71.979,0.146,3.146
Netherlands,NLD,1995,29301.1940492376,77.4046341463415,6.47,7.157
Norway,NOR,1995,34875.7043347536,77.7365853658537,6.42,6.307
New Zealand,NZL,1995,17400.4201848172,76.7341463414634,4.88,6.462
Pakistan,PAK,1995,450.550279346206,60.273,0.000123,5.029
Panama,PAN,1995,3513.89737854631,71.994,0.0561,14.012
Peru,PER,1995,2189.53431515311,67.22,0.0334,7.072
Philippines,PHL,1995,1199.84171414993,66.311,0.0286,8.36
Poland,POL,1995,3700.95956775144,71.8926829268293,0.648,13.339
Puerto Rico (US),PRI,1995,11579.1849969985,73.571,0.135,13.925
Portugal,PRT,1995,11781.3618502221,75.3121951219512,1.49,7.064
Romania,ROU,1995,1650.04922365201,69.4560975609756,0.075,8.006
Singapore,SGP,1995,24914.8507020358,76.2951219512195,2.87,3.3
Suriname,SUR,1995,1609.82504373206,62.779,0.115,8.39
Slovak Republic,SVK,1995,4882.51158238228,72.2536585365854,0.523,13.103
Slovenia,SVN,1995,10738.0887611468,73.9585365853659,2.9,7.361
Sweden,SWE,1995,30254.0273028727,78.7404878048781,5.1,8.897
Eswatini,SWZ,1995,1750.75400773784,55.08,0.00103,21.651
Syrian Arab Republic,SYR,1995,779.699100153744,70.209,0.0,7.2
Thailand,THA,1995,2864.36515719866,69.757,0.0748,1.1
Trinidad and Tobago,TTO,1995,4114.68908475464,67.995,0.158,17.217
Turkiye,TUR,1995,3845.98997887841,69.734,0.0817,7.241
Ukraine,UKR,1995,933.191772460938,67.114,0.0431,5.62
Uruguay,URY,1995,6050.48632253644,73.493,0.31,10.235
United States,USA,1995,28690.8757013347,75.6219512195122,9.24,5.65
Uzbekistan,UZB,1995,582.54213674034,64.67,0.00153,0.4
"Venezuela, RB",VEN,1995,3486.98350635919,71.714,0.122,10.236
South Africa,ZAF,1995,3855.6340871567,61.603,0.677,43.794
Albania,ALB,1996,1020.97618050188,74.113,0.0322,12.3
Argentina,ARG,1996,7663.21271287469,73.056,0.142,17.112
Armenia,ARM,1996,487.068624404558,69.0061219512195,0.0946,9.3
Australia,AUS,1996,22055.838490507,78.0780487804878,3.28,8.506
Austria,AUT,1996,29645.9451251491,76.8707317073171,6.91,5.282
Azerbaijan,AZE,1996,409.185543774103,62.66,0.00635,0.858
Belgium,BEL,1996,27489.5551770488,77.1873170731707,2.97,9.483
Bulgaria,BGR,1996,1470.19259250682,70.8973170731707,0.725,13.746
"Bahamas, The",BHS,1996,11783.797197226,71.464,1.75,11.505
Belarus,BLR,1996,1427.26896385327,68.5121951219512,0.0293,4.0
Belize,BLZ,1996,4043.26517997242,69.363,0.883,13.817
Bolivia,BOL,1996,922.113259069714,60.287,0.196,3.8
Brazil,BRA,1996,5179.13052009976,68.108,0.451,8.035
Barbados,BRB,1996,9011.77884838722,74.065,0.389,15.8
Botswana,BWA,1996,3156.26865681161,54.284,0.157,21.593
Canada,CAN,1996,21296.9723536904,78.220243902439,6.76,9.62
Switzerland,CHE,1996,48092.6433036512,78.8960975609756,4.55,3.684
Chile,CHL,1996,5333.50438729711,75.555,0.683,5.71
China,CHN,1996,713.337387811657,70.823,0.0131,1.168
Colombia,COL,1996,2664.64056059983,70.209,0.33,11.806
Cuba,CUB,1996,2282.18809324202,74.69,0.0319,7.6
Cyprus,CYP,1996,15139.220703125,76.88,0.673,3.1
Czechia,CZE,1996,6573.19643136362,73.7146341463415,1.94,3.852
Germany,DEU,1996,30599.7891048363,76.6731707317073,3.05,8.822
Denmark,DNK,1996,35621.9878051732,75.5914634146342,5.71,6.844
Dominican Republic,DOM,1996,2270.86558687203,69.595,0.075,15.371
Ecuador,ECU,1996,2135.8479374308,71.82,0.0862,10.376
"Egypt, Arab Rep.",EGY,1996,1008.97637629447,65.733,0.0615,9.0
Spain,ESP,1996,16100.6215831114,78.1204878048781,1.33,22.142
Finland,FIN,1996,25756.6777073618,76.6934146341464,16.8,15.572
Fiji,FJI,1996,2648.32766264,66.202,0.0644,3.7
France,FRA,1996,26757.6351494145,77.9536585365854,2.58,12.367
United Kingdom,GBR,1996,24503.3829602903,77.0878048780488,4.12,8.189
Georgia,GEO,1996,689.034634153312,70.637,0.0401,2.4
Greece,GRC,1996,13432.5262183244,77.6853658536585,1.4,10.402
Grenada,GRD,1996,3508.294236637,72.373,0.298,16.891
Greenland,GRL,1996,21422.4609853672,65.7673170731707,1.8,12.922
"Hong Kong SAR, China",HKG,1996,24818.3021600084,79.6275609756098,4.75,2.83
Honduras,HND,1996,812.817047602244,67.263,0.0437,4.372
Croatia,HRV,1996,5299.6410536193,72.3653658536585,0.859,9.952
Hungary,HUN,1996,4542.0120380978,70.3287804878049,0.969,10.022
Indonesia,IDN,1996,1118.92133024129,65.465,0.0566,4.861
Ireland,IRL,1996,20835.8977130847,75.8317073170732,2.2,11.692
"Iran, Islamic Rep.",IRN,1996,1914.78121294313,68.328,0.0158,9.1
Iceland,ISL,1996,28583.5208959793,78.7778048780488,14.8,3.6
Israel,ISR,1996,20224.2789080629,78.1048780487805,2.17,6.682
Italy,ITA,1996,23122.9337219116,78.5219512195122,1.02,11.864
Jamaica,JAM,1996,2928.89692611996,71.328,0.591,16.014
Jordan,JOR,1996,1410.17424189419,71.105,0.0449,13.7
Japan,JPN,1996,39150.0396308089,80.219756097561,4.37,3.4
Kazakhstan,KAZ,1996,1281.39152895397,63.455,0.0318,12.96
"Korea, Rep.",KOR,1996,13864.9376534518,74.1512195121951,1.62,2.004
Kuwait,KWT,1996,18201.0958607918,75.9250487804878,0.856,0.7
St. Lucia,LCA,1996,5244.01665086076,70.963,0.67,16.325
Sri Lanka,LKA,1996,776.192371057587,69.841,0.0545,10.826
Lithuania,LTU,1996,2340.67545970008,70.1080487804878,0.277,15.588
Luxembourg,LUX,1996,50444.3591236175,76.519512195122,5.55,3.286
Latvia,LVA,1996,2360.1714816213,68.7765853658537,0.813,20.196
"Macao SAR, China",MAC,1996,17289.5517956917,77.5439024390244,0.727,4.171
Morocco,MAR,1996,1596.83239746094,65.226,0.00568,17.761
Moldova,MDA,1996,575.145455139019,66.248,0.00464,1.542
North Macedonia,MKD,1996,2306.53366957635,72.4951219512195,0.076,31.799
Malta,MLT,1996,10061.850192141,77.3414634146342,1.05,4.4
Mongolia,MNG,1996,595.5810149554,60.994,0.0182,6.715
Malaysia,MYS,1996,4837.16897250768,72.119,0.852,2.516
New Caledonia,NCL,1996,17592.0502745845,71.75,0.253,18.64
Nicaragua,NIC,1996,910.861645917295,65.215,0.0841,10.375
Netherlands,NLD,1996,29063.6236532536,77.4356097560976,9.65,6.421
Norway,NOR,1996,37321.9741993473,78.1504878048781,18.3,5.036
Nepal,NPL,1996,198.821907435345,60.044,0.00451,4.5
New Zealand,NZL,1996,18794.436039393,76.7878048780488,8.04,6.298
